id,value
Root.06040231B0001S.06040231B.06040149B.7251,27270002
Root.06040231B0002S.06040231B.06040149B.7251,27270002
Root.06040194B0002S.06040194B.06040010B.3850,27270101
Root.06040194B0001S.06040194B.06040010B.3850,27270101
Root.06040232B0001S.06040232B.06040184B.4003,27270404
Root.06040232B0001S.06040232B.06040154H.4051,27306701
Root.06040232B0001S.06040232B.06040153H.4050,27306702
Root.06040232B0001S.06040232B.06040179H.4053,27306706
Root.06040232B0001S.06040232B.06040152H.4055,27306709
Root.06040194B0002S.06040194B.06040065B.4100,27308002
Root.06040194B0001S.06040194B.06040065B.4100,27308002
Root.06040194B0002S.06040194B.06040011B.4150,27308201
Root.06040194B0001S.06040194B.06040011B.4150,27308201
Root.06040231B0001S.06040231B.06040139B.4151,27308202
Root.06040231B0002S.06040231B.06040139B.4151,27308202
Root.06040194B0002S.06040194B.06040052B.4200,27308301
Root.06040194B0001S.06040194B.06040052B.4200,27308301
Root.06040231B0001S.06040231B.06040163B.4201,27308302
Root.06040231B0001S.06040231B.06040162B.4201,27308302
Root.06040231B0002S.06040231B.06040163B.4201,27308302
Root.06040231B0002S.06040231B.06040162B.4201,27308302
Root.06040231B0001S.06040231B.06040140B.4351,27311302
Root.06040231B0002S.06040231B.06040140B.4351,27311302
Root.06040231B0001S.06040231B.06040110B.4650,27311901
Root.06040231B0001S.06040231B.06040111B.4650,27311901
Root.06040231B0001S.06040231B.06040116B.4650,27311901
Root.06040231B0002S.06040231B.06040110B.4650,27311901
Root.06040231B0002S.06040231B.06040111B.4650,27311901
Root.06040231B0002S.06040231B.06040116B.4650,27311901
Root.06040231B0001S.06040231B.06040165B.4700,27312001
Root.06040231B0002S.06040231B.06040165B.4700,27312001
Root.06040194B0002S.06040194B.06040047B.6801,27312503
Root.06040194B0001S.06040194B.06040047B.6801,27312503
Root.06040194B0002S.06040194B.06040050B.6901,27312803
Root.06040194B0001S.06040194B.06040050B.6901,27312803
Root.06040231B0001S.06040231B.06040161B.7401,27312902
Root.06040231B0002S.06040231B.06040161B.7401,27312902
Root.06040194B0002S.06040194B.06040069B.6200,27313201
Root.06040194B0001S.06040194B.06040069B.6200,27313201
Root.06040232B0001S.06040232B.06040129H.6201,27313203
Root.06040194B0002S.06040194B.06040054B.6950,27314502
Root.06040194B0001S.06040194B.06040054B.6950,27314502
Root.06040232B0001S.06040232B.06040142B.6952,27314505
Root.06040232B0001S.06040232B.06040143B.6952,27314505
Root.06040231B0001S.06040231B.06040142B.6952,27314505
Root.06040231B0001S.06040231B.06040143B.6952,27314505
Root.06040231B0002S.06040231B.06040142B.6952,27314505
Root.06040231B0002S.06040231B.06040143B.6952,27314505
Root.06040231B0001S.06040231B.06040141B.6601,27317602
Root.06040231B0002S.06040231B.06040141B.6601,27317602
Root.06040194B0002S.06040194B.06040036B.6750,27318601
Root.06040194B0001S.06040194B.06040036B.6750,27318601
Root.06040194B0002S.06040194B.06040032B.6050,27319601
Root.06040194B0001S.06040194B.06040032B.6050,27319601
Root.06040194B0002S.06040194B.06040016H.4900,27370301
Root.06040194B0001S.06040194B.06040016H.4900,27370301
Root.06040194B0002S.06040194B.06040017H.4901,27370302
Root.06040194B0001S.06040194B.06040017H.4901,27370302
Root.06040194B0002S.06040194B.06040056B.6251,27370902
Root.06040194B0001S.06040194B.06040056B.6251,27370902
Root.06040194B0002S.06040194B.06040064B.6252,27370904
Root.06040194B0001S.06040194B.06040064B.6252,27370904
Root.06040232B0001S.06040232B.06040201B.6254,27370906
Root.06040231B0001S.06040231B.06040106B.6351,27371103
Root.06040231B0002S.06040231B.06040106B.6351,27371103
Root.06040194B0002S.06040194B.06040034B.6000,27371301
Root.06040194B0001S.06040194B.06040034B.6000,27371301
Root.06040231B0001S.06040231B.06040150B.4801,27371404
Root.06040231B0002S.06040231B.06040150B.4801,27371404
Root.06040194B0002S.06040194B.06040071B.4802,27371405
Root.06040194B0001S.06040194B.06040071B.4802,27371405
Root.06040232B0001S.06040232B.06040061H.5900,27377701
Root.06040232B0001S.06040232B.06040217B.5901,27377702
Root.06040232B0001S.06040232B.06040227H.5902,27377703
Root.06040231B0001S.06040231B.06040091B.7151,27377802
Root.06040231B0002S.06040231B.06040091B.7151,27377802
Root.06040232B0001S.06040232B.06040220B.7154,27377805
Root.06040232B0001S.06040232B.06040221B.7155,27377806
Root.06040232B0001S.06040232B.06040181H.7551,27377905
Root.06040194B0002S.06040194B.06040041B.6150,27390102
Root.06040194B0001S.06040194B.06040041B.6150,27390102
Root.06040232B0001S.06040232B.06040212B.6153,27390106
Root.06040232B0001S.06040232B.06040198H.5850,27404301
Root.06040232B0001S.06040232B.06040199B.5851,27404302
Root.06040194B0002S.06040194B.06040059B.5800,27404401
Root.06040194B0001S.06040194B.06040059B.5800,27404401
Root.06040231B0001S.06040231B.06040173B.5801,27404402
Root.06040231B0002S.06040231B.06040173B.5801,27404402
Root.06040232B0001S.06040232B.06040172H.5802,27404403
Root.06040232B0001S.06040232B.06040206B.5651,27418704
Root.06040231B0001S.06040231B.06040147B.5551,27423105
Root.06040231B0002S.06040231B.06040147B.5551,27423105
Root.06040232B0001S.06040232B.06040229B.5553,27423107
Root.06040231B0001S.06040231B.06040144B.5555,27423108
Root.06040231B0002S.06040231B.06040144B.5555,27423108
Root.06040231B0001S.06040231B.06040115B.4951,27478603
Root.06040231B0002S.06040231B.06040115B.4951,27478603
Root.06040231B0001S.06040231B.06040126B.4954,27478606
Root.06040231B0002S.06040231B.06040126B.4954,27478606
Root.06040194B0002S.06040194B.06040033B.5300,27478701
Root.06040194B0001S.06040194B.06040033B.5300,27478701
Root.06040194B0002S.06040194B.06040078B.5301,27478702
Root.06040194B0001S.06040194B.06040078B.5301,27478702
Root.06040231B0001S.06040231B.06040097B.5203,27562604
Root.06040231B0002S.06040231B.06040097B.5203,27562604
Root.06040194B0002S.06040194B.06040018B.6700,27651101
Root.06040194B0001S.06040194B.06040018B.6700,27651101
Root.06040194B0002S.06040194B.06040058B.6701,27651103
Root.06040194B0001S.06040194B.06040058B.6701,27651103
Root.06040231B0001S.06040231B.06040023B.6702,27651105
Root.06040231B0002S.06040231B.06040023B.6702,27651105
Root.06040231B0001S.06040231B.06040098B.6704,27651106
Root.06040231B0002S.06040231B.06040098B.6704,27651106
Root.06040194B0002S.06040194B.06040066B.6705,27651107
Root.06040194B0001S.06040194B.06040066B.6705,27651107
Root.06040231B0001S.06040231B.06040137B.6706,27651109
Root.06040231B0002S.06040231B.06040137B.6706,27651109
Root.06040232B0001S.06040232B.06040216B.6707,27651110
Root.06040232B0001S.06040232B.06040175B.6708,27651111
Root.06040232B0001S.06040232B.06040203B.5150,27679101
Root.06040232B0001S.06040232B.06040174B.7350,27948702
Root.06040231B0001S.06040231B.06040149B,
Root.06040231B0002S.06040231B.06040149B,
Root.06040194B0002S.06040194B.06040010B,
Root.06040194B0001S.06040194B.06040010B,
Root.06040232B0001S.06040232B.06040184B,
Root.06040232B0001S.06040232B.06040154H,
Root.06040232B0001S.06040232B.06040153H,
Root.06040232B0001S.06040232B.06040179H,
Root.06040232B0001S.06040232B.06040152H,
Root.06040194B0002S.06040194B.06040065B,
Root.06040194B0001S.06040194B.06040065B,
Root.06040194B0002S.06040194B.06040011B,
Root.06040194B0001S.06040194B.06040011B,
Root.06040231B0001S.06040231B.06040139B,
Root.06040231B0002S.06040231B.06040139B,
Root.06040194B0002S.06040194B.06040052B,
Root.06040194B0001S.06040194B.06040052B,
Root.06040231B0001S.06040231B.06040163B,
Root.06040231B0001S.06040231B.06040162B,
Root.06040231B0002S.06040231B.06040163B,
Root.06040231B0002S.06040231B.06040162B,
Root.06040231B0001S.06040231B.06040140B,
Root.06040231B0002S.06040231B.06040140B,
Root.06040231B0001S.06040231B.06040110B,
Root.06040231B0001S.06040231B.06040111B,
Root.06040231B0001S.06040231B.06040116B,
Root.06040231B0002S.06040231B.06040110B,
Root.06040231B0002S.06040231B.06040111B,
Root.06040231B0002S.06040231B.06040116B,
Root.06040231B0001S.06040231B.06040165B,
Root.06040231B0002S.06040231B.06040165B,
Root.06040194B0002S.06040194B.06040047B,
Root.06040194B0001S.06040194B.06040047B,
Root.06040194B0002S.06040194B.06040050B,
Root.06040194B0001S.06040194B.06040050B,
Root.06040231B0001S.06040231B.06040161B,
Root.06040231B0002S.06040231B.06040161B,
Root.06040194B0002S.06040194B.06040069B,
Root.06040194B0001S.06040194B.06040069B,
Root.06040232B0001S.06040232B.06040129H,
Root.06040194B0002S.06040194B.06040054B,
Root.06040194B0001S.06040194B.06040054B,
Root.06040232B0001S.06040232B.06040142B,
Root.06040232B0001S.06040232B.06040143B,
Root.06040231B0001S.06040231B.06040142B,
Root.06040231B0001S.06040231B.06040143B,
Root.06040231B0002S.06040231B.06040142B,
Root.06040231B0002S.06040231B.06040143B,
Root.06040231B0001S.06040231B.06040141B,
Root.06040231B0002S.06040231B.06040141B,
Root.06040194B0002S.06040194B.06040036B,
Root.06040194B0001S.06040194B.06040036B,
Root.06040194B0002S.06040194B.06040032B,
Root.06040194B0001S.06040194B.06040032B,
Root.06040194B0002S.06040194B.06040016H,
Root.06040194B0001S.06040194B.06040016H,
Root.06040194B0002S.06040194B.06040017H,
Root.06040194B0001S.06040194B.06040017H,
Root.06040194B0002S.06040194B.06040056B,
Root.06040194B0001S.06040194B.06040056B,
Root.06040194B0002S.06040194B.06040064B,
