id,value
Sample,
Sample.topic0,
Sample.topic0.great,0.10292967
Sample.topic0.service,0.06402493
Sample.topic0.italian,0.062011115
Sample.topic0.friendly,0.054827135
Sample.topic1,
Sample.topic1.pizza,0.21657456
Sample.topic1.good,0.03130945
Sample.topic1.place,0.03106688
Sample.topic1.great,0.026992718
Sample.topic1.love,0.024729386
Sample.topic2,
Sample.topic2.good,0.039201304
Sample.topic2.place,0.038604155
Sample.topic2.like,0.03542943
Sample.topic2.tacos,0.032463767
Sample.topic2.meet,0.029667024
Sample.topic3,
Sample.topic3.vegas,0.22901821
Sample.topic3.bad,0.040752087
Sample.topic3.place,0.03692885
Sample.topic3.great,0.02874663
