id,value,weight
Boot,,
Boot.Chinese,,
Boot.Chinese.Topic0,,
Boot.Chinese.Topic0.thai,0.020187065,1
Boot.Chinese.Topic0.spicy,0.019734316,0.977572322
Boot.Chinese.Topic0.noodles,0.018244956,0.903794385
Boot.Chinese.Topic0.curry,0.01822533,0.902822178
Boot.Chinese.Topic0.good,0.016722312,0.82836767
Boot.Chinese.Topic0.dish,0.015635576,0.774534386
Boot.Chinese.Topic0.chicken,0.015536508,0.769626887
Boot.Chinese.Topic0.tofu,0.015043863,0.745222894
Boot.Chinese.Topic0.sauce,0.014478122,0.717197968
Boot.Chinese.Topic0.beef,0.013812827,0.684241468
Boot.Chinese.Topic0.like,0.013556211,0.671529566
Boot.Chinese.Topic0.ordered,0.01309647,0.648755527
Boot.Chinese.Topic0.dishes,0.012680055,0.628127714
Boot.Chinese.Topic0.place,0.012183866,0.603548138
Boot.Chinese.Topic0.just,0.011491539,0.569252588
Boot.Chinese.Topic1,,
Boot.Chinese.Topic1.vegas,0.070408985,1
Boot.Chinese.Topic1.noodle,0.058612127,0.832452378
Boot.Chinese.Topic1.soup,0.035513304,0.504385967
Boot.Chinese.Topic1.pho,0.03487158,0.495271733
Boot.Chinese.Topic1.noodles,0.028850442,0.409755119
Boot.Chinese.Topic1.bowl,0.023375314,0.331993339
Boot.Chinese.Topic1.beef,0.023144143,0.328710079
Boot.Chinese.Topic1.place,0.020530257,0.291585754
Boot.Chinese.Topic1.good,0.018764237,0.266503444
Boot.Chinese.Topic1.best,0.013107983,0.18616918
Boot.Chinese.Topic1.just,0.011573856,0.164380384
Boot.Chinese.Topic1.service,0.010720493,0.152260297
Boot.Chinese.Topic1.delicious,0.01010063,0.143456549
Boot.Chinese.Topic1.restaurant,0.010000222,0.142030481
Boot.Chinese.Topic1.dumplings,0.009789526,0.139038015
Boot.Chinese.Topic2,,
Boot.Chinese.Topic2.great,0.050679233,1
Boot.Chinese.Topic2.love,0.0396506,0.782383585
Boot.Chinese.Topic2.amazing,0.03360576,0.663107115
Boot.Chinese.Topic2.place,0.03332629,0.657592628
Boot.Chinese.Topic2.service,0.025842546,0.509923779
Boot.Chinese.Topic2.awesome,0.02463435,0.486083718
Boot.Chinese.Topic2.delicious,0.022621818,0.446372541
Boot.Chinese.Topic2.recommend,0.021254739,0.419397409
Boot.Chinese.Topic2.chinese,0.020740567,0.409251794
Boot.Chinese.Topic2.best,0.018612962,0.367270002
Boot.Chinese.Topic2.restaurant,0.01831055,0.361302824
Boot.Chinese.Topic2.good,0.01587479,0.313240534
Boot.Chinese.Topic2.definitely,0.015830217,0.312361022
Boot.Chinese.Topic2.family,0.015265981,0.301227546
Boot.Chinese.Topic2.try,0.014891837,0.293844956
Boot.Chinese.Topic3,,
Boot.Chinese.Topic3.sushi,0.050683424,1
Boot.Chinese.Topic3.buffet,0.042288505,0.834365591
Boot.Chinese.Topic3.good,0.031055868,0.612742107
Boot.Chinese.Topic3.place,0.022242328,0.438848173
Boot.Chinese.Topic3.chinese,0.018163865,0.358378806
Boot.Chinese.Topic3.price,0.018115453,0.357423622
Boot.Chinese.Topic3.panda,0.016135892,0.318366257
Boot.Chinese.Topic3.great,0.015086193,0.297655364
Boot.Chinese.Topic3.lunch,0.014242327,0.28100562
Boot.Chinese.Topic3.quality,0.014086409,0.277929309
Boot.Chinese.Topic3.decent,0.013856097,0.27338518
Boot.Chinese.Topic3.service,0.013311699,0.262644035
Boot.Chinese.Topic3.like,0.013027832,0.257043249
Boot.Chinese.Topic3.eat,0.012881541,0.254156882
Boot.Chinese.Topic3.pretty,0.012877188,0.254070996
Boot.Chinese.Topic4,,
Boot.Chinese.Topic4.order,0.017235141,1
Boot.Chinese.Topic4.time,0.016303768,0.945960813
Boot.Chinese.Topic4.came,0.016164893,0.937903148
Boot.Chinese.Topic4.just,0.015856437,0.920006224
Boot.Chinese.Topic4.service,0.015726,0.91243814
Boot.Chinese.Topic4.place,0.015659375,0.908572492
Boot.Chinese.Topic4.ordered,0.015536042,0.901416588
Boot.Chinese.Topic4.got,0.014889693,0.863914777
Boot.Chinese.Topic4.like,0.014416599,0.836465394
Boot.Chinese.Topic4.said,0.014415043,0.836375113
Boot.Chinese.Topic4.good,0.01437662,0.834145772
Boot.Chinese.Topic4.minutes,0.013352842,0.774745156
Boot.Chinese.Topic4.asked,0.013089908,0.759489464
Boot.Chinese.Topic4.wait,0.012821084,0.743892029
Boot.Chinese.Topic4.didn,0.012800554,0.742700858
Boot.Chinese.Topic5,,
Boot.Chinese.Topic5.chinese,0.030096738,1
Boot.Chinese.Topic5.place,0.026334738,0.875003065
Boot.Chinese.Topic5.delivery,0.024759436,0.822661778
Boot.Chinese.Topic5.good,0.020945143,0.695927346
Boot.Chinese.Topic5.just,0.02085142,0.692813288
Boot.Chinese.Topic5.like,0.020530468,0.682149275
Boot.Chinese.Topic5.ve,0.018669281,0.620309118
Boot.Chinese.Topic5.don,0.01745184,0.579858189
Boot.Chinese.Topic5.really,0.015601922,0.518392458
Boot.Chinese.Topic5.order,0.014845078,0.493245414
Boot.Chinese.Topic5.time,0.013379592,0.444552895
Boot.Chinese.Topic5.restaurant,0.012925329,0.429459465
Boot.Chinese.Topic5.know,0.012863258,0.427397082
Boot.Chinese.Topic5.bad,0.011581911,0.3848228
Boot.Chinese.Topic5.better,0.011559054,0.384063349
Boot.Chinese.Topic6,,
Boot.Chinese.Topic6.egg,0.029247908,1
Boot.Chinese.Topic6.chicken,0.028220538,0.964873727
Boot.Chinese.Topic6.soup,0.026845893,0.917873955
Boot.Chinese.Topic6.sour,0.025458997,0.870455316
Boot.Chinese.Topic6.hot,0.020583533,0.703760864
Boot.Chinese.Topic6.rice,0.019611951,0.670542009
Boot.Chinese.Topic6.sweet,0.019543707,0.668208714
Boot.Chinese.Topic6.rolls,0.018865056,0.645005311
Boot.Chinese.Topic6.roll,0.018205434,0.622452519
Boot.Chinese.Topic6.fried,0.017694388,0.604979611
Boot.Chinese.Topic6.good,0.017535957,0.599562779
Boot.Chinese.Topic6.sauce,0.016679589,0.570283146
Boot.Chinese.Topic6.shrimp,0.015593199,0.533138951
Boot.Chinese.Topic6.lunch,0.01549472,0.529771907
Boot.Chinese.Topic6.crab,0.013261857,0.453429233
Boot.Chinese.Topic7,,
Boot.Chinese.Topic7.great,0.035456482,1
Boot.Chinese.Topic7.friendly,0.034517884,0.973528169
Boot.Chinese.Topic7.good,0.031229708,0.880789809
Boot.Chinese.Topic7.service,0.031051867,0.875774055
Boot.Chinese.Topic7.staff,0.028189702,0.795050733
Boot.Chinese.Topic7.excellent,0.025683513,0.724367212
Boot.Chinese.Topic7.place,0.021396624,0.603461562
Boot.Chinese.Topic7.portions,0.019652648,0.554275182
Boot.Chinese.Topic7.prices,0.019202823,0.541588503
Boot.Chinese.Topic7.chinese,0.019144455,0.539942316
Boot.Chinese.Topic7.restaurant,0.017983839,0.507208781
Boot.Chinese.Topic7.clean,0.017781585,0.501504492
Boot.Chinese.Topic7.fast,0.01604307,0.452472132
Boot.Chinese.Topic7.lunch,0.015975459,0.450565259
Boot.Chinese.Topic7.nice,0.015188745,0.428377102
Boot.Chinese.Topic8,,
Boot.Chinese.Topic8.pork,0.030581804,1
Boot.Chinese.Topic8.chicken,0.02884352,0.943159534
Boot.Chinese.Topic8.rice,0.025887147,0.846488552
Boot.Chinese.Topic8.duck,0.02578545,0.843163144
Boot.Chinese.Topic8.beef,0.025472788,0.832939352
Boot.Chinese.Topic8.fried,0.023028344,0.753008031
Boot.Chinese.Topic8.good,0.021061083,0.688680203
Boot.Chinese.Topic8.orange,0.015871704,0.518991751
Boot.Chinese.Topic8.chinese,0.014629772,0.478381589
Boot.Chinese.Topic8.chow,0.014549228,0.475747866
Boot.Chinese.Topic8.bbq,0.014541262,0.475487385
Boot.Chinese.Topic8.mongolian,0.014509808,0.474458864
Boot.Chinese.Topic8.mein,0.013805884,0.451441125
Boot.Chinese.Topic8.noodles,0.012893645,0.421611655
Boot.Chinese.Topic8.ordered,0.012843182,0.419961556
