id,value,weight
Boot,,
Boot.Chinese,,
Boot.Chinese.Topic0,,
Boot.Chinese.Topic0.good,0.261413313,1
Boot.Chinese.Topic0.place,0.231700146,0.886336442
Boot.Chinese.Topic0.chinese,0.211915373,0.810652566
Boot.Chinese.Topic0.chicken,0.200274215,0.766120946
Boot.Chinese.Topic0.great,0.172469121,0.659756455
Boot.Chinese.Topic0.like,0.167463782,0.640609233
Boot.Chinese.Topic0.service,0.153801319,0.588345396
Boot.Chinese.Topic0.just,0.151137642,0.578155874
Boot.Chinese.Topic0.rice,0.142188129,0.543920766
Boot.Chinese.Topic0.really,0.136233955,0.521143906
Boot.Chinese.Topic0.restaurant,0.132367734,0.506354221
Boot.Chinese.Topic0.time,0.126526277,0.484008546
Boot.Chinese.Topic0.fried,0.122674471,0.469274001
Boot.Chinese.Topic0.soup,0.120192372,0.45977908
Boot.Chinese.Topic0.order,0.118323481,0.452629897
Boot.Chinese.Topic1,,
Boot.Chinese.Topic1.chicken,0.437087844,1
Boot.Chinese.Topic1.great,-0.300639702,0.687824442
Boot.Chinese.Topic1.rice,0.294843126,0.674562631
Boot.Chinese.Topic1.fried,0.258765583,0.592021918
Boot.Chinese.Topic1.service,-0.250656234,0.573468785
Boot.Chinese.Topic1.place,-0.232440333,0.531793176
Boot.Chinese.Topic1.dim,-0.207228704,0.474112258
Boot.Chinese.Topic1.sum,-0.203558096,0.465714384
Boot.Chinese.Topic1.soup,0.161350612,0.369149163
Boot.Chinese.Topic1.sauce,0.159983163,0.366020619
Boot.Chinese.Topic1.beef,0.152979219,0.349996509
Boot.Chinese.Topic1.good,-0.144697504,0.331049023
Boot.Chinese.Topic1.ordered,0.130742516,0.299121832
Boot.Chinese.Topic1.egg,0.124049611,0.283809336
Boot.Chinese.Topic1.sour,0.114233612,0.26135161
Boot.Chinese.Topic2,,
Boot.Chinese.Topic2.great,-0.619743349,1
Boot.Chinese.Topic2.dim,0.335502598,0.541357319
Boot.Chinese.Topic2.sum,0.33369856,0.538446375
Boot.Chinese.Topic2.chicken,-0.207710202,0.335155194
Boot.Chinese.Topic2.service,-0.195889613,0.316081832
Boot.Chinese.Topic2.love,-0.174617265,0.281757384
Boot.Chinese.Topic2.like,0.144240644,0.232742545
Boot.Chinese.Topic2.just,0.122104753,0.19702471
Boot.Chinese.Topic2.friendly,-0.117638155,0.189817535
Boot.Chinese.Topic2.lunch,-0.114142598,0.184177206
Boot.Chinese.Topic2.don,0.094143838,0.151907783
Boot.Chinese.Topic2.didn,0.084526674,0.136389805
Boot.Chinese.Topic2.staff,-0.07569066,0.122132266
Boot.Chinese.Topic2.prices,-0.075590732,0.121971026
Boot.Chinese.Topic2.orange,-0.074355884,0.11997851
Boot.Chinese.Topic3,,
Boot.Chinese.Topic3.chinese,-0.67905064,1
Boot.Chinese.Topic3.best,-0.230313752,0.339170215
Boot.Chinese.Topic3.time,0.180687149,0.266087886
Boot.Chinese.Topic3.pho,0.15791287,0.232549475
Boot.Chinese.Topic3.good,-0.149859016,0.220689014
Boot.Chinese.Topic3.order,0.142548303,0.209922934
Boot.Chinese.Topic3.service,0.14119564,0.207930943
Boot.Chinese.Topic3.just,0.135038493,0.198863656
Boot.Chinese.Topic3.came,0.132518704,0.195152904
Boot.Chinese.Topic3.chicken,-0.130060543,0.191532906
Boot.Chinese.Topic3.got,0.118569141,0.17461016
Boot.Chinese.Topic3.ordered,0.115163598,0.169595007
Boot.Chinese.Topic3.great,0.114711286,0.168928912
Boot.Chinese.Topic3.didn,0.10355012,0.152492486
Boot.Chinese.Topic3.sushi,0.102943363,0.151598949
Boot.Chinese.Topic4,,
Boot.Chinese.Topic4.good,-0.766521838,1
Boot.Chinese.Topic4.great,0.273948336,0.35739143
Boot.Chinese.Topic4.dim,0.264670978,0.345288242
Boot.Chinese.Topic4.sum,0.262719214,0.342741982
Boot.Chinese.Topic4.pretty,-0.155622469,0.203024182
Boot.Chinese.Topic4.really,-0.149743941,0.195355088
Boot.Chinese.Topic4.best,0.130253443,0.169927895
Boot.Chinese.Topic4.love,0.128189273,0.167234992
Boot.Chinese.Topic4.delicious,0.087493937,0.114144089
Boot.Chinese.Topic4.sushi,-0.080321536,0.104787016
Boot.Chinese.Topic4.ve,0.076222523,0.099439468
Boot.Chinese.Topic4.buffet,-0.065174965,0.085026886
Boot.Chinese.Topic4.restaurant,0.065001133,0.084800106
Boot.Chinese.Topic4.service,-0.064274293,0.083851875
Boot.Chinese.Topic4.chinese,0.064145162,0.083683411
Boot.Chinese.Topic5,,
Boot.Chinese.Topic5.dim,-0.44637927,1
Boot.Chinese.Topic5.sum,-0.443223101,0.9929294
Boot.Chinese.Topic5.good,-0.327384543,0.733422372
Boot.Chinese.Topic5.place,0.311693081,0.698269615
Boot.Chinese.Topic5.great,-0.238910151,0.535217844
Boot.Chinese.Topic5.chinese,0.22515284,0.504398065
Boot.Chinese.Topic5.service,-0.166164935,0.372250563
Boot.Chinese.Topic5.like,0.146340042,0.327837899
Boot.Chinese.Topic5.love,0.125901929,0.282051469
Boot.Chinese.Topic5.rice,-0.11911973,0.266857665
Boot.Chinese.Topic5.fried,-0.109847882,0.246086432
Boot.Chinese.Topic5.just,0.106629353,0.238876132
Boot.Chinese.Topic5.chicken,-0.103252229,0.231310538
Boot.Chinese.Topic5.shrimp,-0.101471916,0.227322196
Boot.Chinese.Topic5.pork,-0.09654085,0.216275389
Boot.Chinese.Topic6,,
Boot.Chinese.Topic6.chicken,0.453883306,1
Boot.Chinese.Topic6.soup,-0.374389077,0.824857563
Boot.Chinese.Topic6.noodle,-0.315405307,0.694903961
Boot.Chinese.Topic6.noodles,-0.273802637,0.603244564
Boot.Chinese.Topic6.place,0.267401102,0.589140641
Boot.Chinese.Topic6.beef,-0.225346614,0.496485796
Boot.Chinese.Topic6.dim,0.167130492,0.368223484
Boot.Chinese.Topic6.sum,0.165593228,0.36483657
Boot.Chinese.Topic6.chinese,-0.144967408,0.319393567
Boot.Chinese.Topic6.restaurant,-0.139063916,0.306386938
Boot.Chinese.Topic6.love,0.138683734,0.305549318
Boot.Chinese.Topic6.orange,0.137436519,0.302801442
Boot.Chinese.Topic6.pho,-0.12199562,0.268781906
Boot.Chinese.Topic6.hot,-0.114780431,0.252885333
Boot.Chinese.Topic6.vegas,-0.114286103,0.251796225
Boot.Chinese.Topic7,,
Boot.Chinese.Topic7.place,-0.494530053,1
Boot.Chinese.Topic7.love,-0.374776067,0.757842854
Boot.Chinese.Topic7.pho,-0.276846752,0.559817853
Boot.Chinese.Topic7.chinese,0.24756575,0.5006081
Boot.Chinese.Topic7.service,0.24194002,0.489232188
Boot.Chinese.Topic7.restaurant,0.240660735,0.486645319
Boot.Chinese.Topic7.soup,-0.196800823,0.397955235
Boot.Chinese.Topic7.noodles,-0.189568041,0.383329668
Boot.Chinese.Topic7.noodle,-0.177936598,0.359809474
Boot.Chinese.Topic7.order,0.13604622,0.275102027
Boot.Chinese.Topic7.beef,-0.115366247,0.233284603
Boot.Chinese.Topic7.thai,-0.113581889,0.229676415
Boot.Chinese.Topic7.dim,-0.106550763,0.215458621
Boot.Chinese.Topic7.sum,-0.104984355,0.212291154
Boot.Chinese.Topic7.great,0.097343525,0.196840464
Boot.Chinese.Topic8,,
Boot.Chinese.Topic8.pho,0.793507429,1
Boot.Chinese.Topic8.sushi,-0.219215959,0.276262012
Boot.Chinese.Topic8.place,-0.199293062,0.251154627
Boot.Chinese.Topic8.chicken,0.198030663,0.249563716
Boot.Chinese.Topic8.buffet,-0.155056798,0.195406863
Boot.Chinese.Topic8.service,0.139094681,0.175290962
Boot.Chinese.Topic8.best,0.129018272,0.162592394
Boot.Chinese.Topic8.soup,-0.122783737,0.15473546
Boot.Chinese.Topic8.long,0.12139344,0.152983369
Boot.Chinese.Topic8.restaurant,0.118897339,0.149837714
Boot.Chinese.Topic8.lunch,-0.115220952,0.145204629
Boot.Chinese.Topic8.vegas,0.110658733,0.139455195
Boot.Chinese.Topic8.ve,0.101916003,0.128437365
