id,value,weight
Sample,,
Sample.Topic0,,
Sample.Topic0.pork,0.015190943,1
Sample.Topic0.good,0.01436899,0.945891904
Sample.Topic0.meat,0.013946521,0.91808132
Sample.Topic0.fries,0.013826368,0.910171804
Sample.Topic0.cheese,0.012681451,0.834803409
Sample.Topic0.bbq,0.012425174,0.817933028
Sample.Topic0.burger,0.011467119,0.754865514
Sample.Topic0.chicken,0.010406848,0.685069255
Sample.Topic0.like,0.009486727,0.624498887
Sample.Topic0.just,0.009162266,0.603140042
Sample.Topic0.place,0.008959059,0.58976319
Sample.Topic0.really,0.008332807,0.548537836
Sample.Topic0.ribs,0.008040752,0.529312236
Sample.Topic0.great,0.007846253,0.51650862
Sample.Topic0.try,0.007824005,0.515044063
Sample.Topic1,,
Sample.Topic1.beer,0.020902146,1
Sample.Topic1.great,0.017332725,0.829231841
Sample.Topic1.bar,0.016741654,0.800953835
Sample.Topic1.place,0.015934838,0.762354162
Sample.Topic1.good,0.015040875,0.719585204
Sample.Topic1.happy,0.013660782,0.653558826
Sample.Topic1.hour,0.012907004,0.617496596
Sample.Topic1.night,0.011360722,0.543519407
Sample.Topic1.hotel,0.010500531,0.502366169
Sample.Topic1.drinks,0.010410856,0.498075939
Sample.Topic1.fun,0.009784428,0.468106361
Sample.Topic1.music,0.009276553,0.443808641
Sample.Topic1.like,0.008789094,0.420487638
Sample.Topic1.beers,0.008699481,0.416200375
Sample.Topic1.really,0.008691433,0.415815343
Sample.Topic2,,
Sample.Topic2.good,0.009842015,1
Sample.Topic2.dish,0.008992388,0.91367347
Sample.Topic2.great,0.00861262,0.875087063
Sample.Topic2.delicious,0.008108185,0.823833839
Sample.Topic2.wine,0.007986599,0.811480068
Sample.Topic2.dessert,0.007980028,0.81081242
Sample.Topic2.restaurant,0.007840004,0.796585252
Sample.Topic2.ordered,0.007820405,0.794593892
Sample.Topic2.menu,0.007352375,0.747039554
Sample.Topic2.meal,0.007150411,0.72651898
Sample.Topic2.dishes,0.007087408,0.720117578
Sample.Topic2.lobster,0.007075828,0.718940989
Sample.Topic2.cheese,0.006971029,0.708292824
Sample.Topic2.just,0.00683786,0.69476217
Sample.Topic2.dinner,0.00671554,0.682333882
Sample.Topic3,,
Sample.Topic3.service,0.010637491,1
Sample.Topic3.minutes,0.01044797,0.982183675
Sample.Topic3.time,0.01024126,0.962751461
Sample.Topic3.table,0.009990447,0.939173251
Sample.Topic3.place,0.009788965,0.920232506
Sample.Topic3.came,0.009651429,0.907303141
Sample.Topic3.just,0.009636119,0.905863892
Sample.Topic3.order,0.008794993,0.826792051
Sample.Topic3.good,0.008671665,0.81519834
Sample.Topic3.got,0.008519685,0.800911136
Sample.Topic3.didn,0.008370284,0.786866377
Sample.Topic3.like,0.008304836,0.780713798
Sample.Topic3.ordered,0.007543991,0.709188943
Sample.Topic3.asked,0.007377024,0.693492883
Sample.Topic3.restaurant,0.007202556,0.677091656
Sample.Topic4,,
Sample.Topic4.chinese,0.018875608,1
Sample.Topic4.good,0.016908512,0.89578635
Sample.Topic4.place,0.013862387,0.734407443
Sample.Topic4.dishes,0.013033205,0.690478686
Sample.Topic4.thai,0.012205347,0.646620045
Sample.Topic4.rice,0.011346392,0.601113988
Sample.Topic4.buffet,0.010834565,0.573998199
Sample.Topic4.like,0.01067747,0.565675553
Sample.Topic4.restaurant,0.010068419,0.53340899
Sample.Topic4.asian,0.009583012,0.507692891
Sample.Topic4.service,0.009270417,0.4911321
Sample.Topic4.just,0.009045215,0.479201253
Sample.Topic4.soup,0.009001927,0.476907896
Sample.Topic4.beef,0.008833352,0.467977084
Sample.Topic4.authentic,0.008642336,0.457857357
Sample.Topic5,,
Sample.Topic5.breakfast,0.024168853,1
Sample.Topic5.tea,0.017780928,0.73569598
Sample.Topic5.coffee,0.01700529,0.703603518
Sample.Topic5.rolls,0.014420193,0.596643664
Sample.Topic5.egg,0.013328095,0.55145749
Sample.Topic5.eggs,0.01312392,0.543009633
Sample.Topic5.good,0.012620821,0.522193627
Sample.Topic5.ice,0.012391174,0.512691852
Sample.Topic5.place,0.01178785,0.487728958
Sample.Topic5.brunch,0.011468489,0.474515237
Sample.Topic5.bacon,0.009934397,0.41104131
Sample.Topic5.great,0.009736711,0.40286194
Sample.Topic5.cream,0.009490063,0.392656718
Sample.Topic5.toast,0.008939481,0.369876096
Sample.Topic5.like,0.008363907,0.346061396
Sample.Topic6,,
Sample.Topic6.place,0.018220557,1
Sample.Topic6.good,0.013069165,0.717275822
Sample.Topic6.like,0.012747218,0.699606384
Sample.Topic6.ve,0.012444747,0.683005849
Sample.Topic6.just,0.0118296,0.649244697
Sample.Topic6.don,0.011151186,0.612011257
Sample.Topic6.time,0.0101868,0.559082799
Sample.Topic6.service,0.009086647,0.498703031
Sample.Topic6.great,0.008980341,0.492868632
Sample.Topic6.really,0.008612117,0.47265937
Sample.Topic6.love,0.008530747,0.468193535
Sample.Topic6.location,0.008504708,0.466764435
Sample.Topic6.times,0.007645625,0.419615311
Sample.Topic6.know,0.007581154,0.416076962
Sample.Topic6.years,0.007342181,0.402961391
Sample.Topic7,,
Sample.Topic7.great,0.052162465,1
Sample.Topic7.service,0.031683523,0.607400801
Sample.Topic7.place,0.03086133,0.591638643
Sample.Topic7.love,0.026895022,0.515601055
Sample.Topic7.good,0.023970036,0.45952652
Sample.Topic7.friendly,0.021717684,0.416346965
Sample.Topic7.amazing,0.020718025,0.397182629
Sample.Topic7.staff,0.019916574,0.381818114
Sample.Topic7.atmosphere,0.018194614,0.348806637
Sample.Topic7.awesome,0.017747523,0.340235512
Sample.Topic7.delicious,0.01739733,0.333522007
Sample.Topic7.excellent,0.016801788,0.322104947
Sample.Topic7.recommend,0.014483315,0.277657795
Sample.Topic7.best,0.013404314,0.256972403
Sample.Topic7.definitely,0.012454067,0.238755339
Sample.Topic8,,
Sample.Topic8.vegas,0.06697434,1
Sample.Topic8.las,0.05710998,0.852714338
