id,value,weight
Sample,,
Sample.Topic0,,
Sample.Topic0.good,0.249336632,1
Sample.Topic0.place,0.230057377,0.922677807
Sample.Topic0.great,0.216087858,0.866651066
Sample.Topic0.like,0.162004389,0.649741625
Sample.Topic0.service,0.161825926,0.649025875
Sample.Topic0.just,0.154598142,0.620037821
Sample.Topic0.really,0.139658976,0.560122173
Sample.Topic0.time,0.136509798,0.547491946
Sample.Topic0.love,0.108480692,0.435077231
Sample.Topic0.ve,0.105060224,0.421358958
Sample.Topic0.chicken,0.10398805,0.417058854
Sample.Topic0.nice,0.101205806,0.405900268
Sample.Topic0.restaurant,0.099149079,0.397651474
Sample.Topic0.ordered,0.098614626,0.395507972
Sample.Topic0.best,0.098164236,0.39370162
Sample.Topic1,,
Sample.Topic1.great,-0.73810792,1
Sample.Topic1.service,-0.216031463,0.29268276
Sample.Topic1.love,-0.172612173,0.233857636
Sample.Topic1.place,-0.160524184,0.217480642
Sample.Topic1.atmosphere,-0.126981236,0.172036138
Sample.Topic1.like,0.123952136,0.167932267
Sample.Topic1.ordered,0.117770242,0.159556941
Sample.Topic1.just,0.113514876,0.153791705
Sample.Topic1.friendly,-0.108114239,0.146474839
Sample.Topic1.staff,-0.100729343,0.136469668
Sample.Topic1.order,0.098317632,0.133202246
Sample.Topic1.got,0.097073545,0.131516737
Sample.Topic1.didn,0.090926532,0.123188668
Sample.Topic1.awesome,-0.089364091,0.121071849
Sample.Topic1.came,0.088168908,0.119452597
Sample.Topic2,,
Sample.Topic2.pizza,-0.928595252,1
Sample.Topic2.crust,-0.152629422,0.16436593
Sample.Topic2.good,-0.137521301,0.148096063
Sample.Topic2.great,0.095979914,0.103360333
Sample.Topic2.sushi,0.062593756,0.067406931
Sample.Topic2.wings,-0.060792445,0.065467108
Sample.Topic2.service,0.059649968,0.064236779
Sample.Topic2.cheese,-0.058893582,0.063422231
Sample.Topic2.burger,0.055348017,0.059604028
Sample.Topic2.love,-0.051225626,0.055164643
Sample.Topic2.sauce,-0.049399173,0.053197744
Sample.Topic2.bar,0.048473802,0.052201216
Sample.Topic2.restaurant,0.044446225,0.047863937
Sample.Topic2.breakfast,0.044159527,0.047555193
Sample.Topic2.table,0.042580927,0.045855207
Sample.Topic3,,
Sample.Topic3.good,-0.828027191,1
Sample.Topic3.love,0.17990093,0.217264519
Sample.Topic3.pretty,-0.146784507,0.177270154
Sample.Topic3.pizza,0.146561006,0.177000233
Sample.Topic3.service,-0.145005973,0.175122235
Sample.Topic3.really,-0.13293147,0.160539981
Sample.Topic3.best,0.107192768,0.129455613
Sample.Topic3.amazing,0.106179823,0.128232291
Sample.Topic3.great,0.093678102,0.113134089
Sample.Topic3.delicious,0.086033991,0.103902374
Sample.Topic3.order,0.083283528,0.100580669
Sample.Topic3.time,0.081495273,0.098421011
Sample.Topic3.nice,-0.075200679,0.090819093
Sample.Topic3.wait,0.066917025,0.080815009
Sample.Topic3.beer,-0.062402729,0.07536314
Sample.Topic4,,
Sample.Topic4.love,-0.50248902,1
Sample.Topic4.place,-0.401908615,0.799835616
Sample.Topic4.great,0.293728036,0.584546178
Sample.Topic4.service,0.247779588,0.493104482
Sample.Topic4.best,-0.174159332,0.346593309
Sample.Topic4.pizza,0.162951947,0.324289567
Sample.Topic4.minutes,0.116651985,0.232148327
Sample.Topic4.came,0.116244443,0.23133728
Sample.Topic4.table,0.115449822,0.229755911
Sample.Topic4.ordered,0.113071599,0.225023024
Sample.Topic4.server,0.109399824,0.217715849
Sample.Topic4.ve,-0.10155492,0.20210376
Sample.Topic4.vegas,-0.083559658,0.16629151
Sample.Topic4.favorite,-0.082196975,0.163579644
Sample.Topic4.asked,0.081665411,0.162521782
Sample.Topic5,,
Sample.Topic5.burger,-0.324032581,1
Sample.Topic5.chicken,-0.304443022,0.93954448
Sample.Topic5.bar,0.277273145,0.855695266
Sample.Topic5.place,0.256716143,0.792254107
Sample.Topic5.fries,-0.211099731,0.65147687
Sample.Topic5.great,-0.199089175,0.61441098
Sample.Topic5.cheese,-0.159861147,0.493348991
Sample.Topic5.salad,-0.155773346,0.480733592
Sample.Topic5.sandwich,-0.154923435,0.478110674
Sample.Topic5.sauce,-0.142890462,0.440975602
Sample.Topic5.drinks,0.141883232,0.437867179
Sample.Topic5.delicious,-0.13143622,0.405626559
Sample.Topic5.fried,-0.114519606,0.353420034
Sample.Topic5.rice,-0.109465269,0.337821799
Sample.Topic5.beer,0.10257612,0.31656113
Sample.Topic6,,
Sample.Topic6.burger,0.719868003,1
Sample.Topic6.fries,0.287091481,0.398811281
Sample.Topic6.burgers,0.220977344,0.306969255
Sample.Topic6.bar,0.191207556,0.265614745
Sample.Topic6.beer,0.187585028,0.260582534
Sample.Topic6.sushi,-0.177346103,0.246359198
Sample.Topic6.chicken,-0.171904907,0.238800595
Sample.Topic6.rice,-0.126478233,0.175696423
Sample.Topic6.breakfast,-0.107706768,0.149620163
Sample.Topic6.buffet,-0.095156964,0.132186684
Sample.Topic6.chinese,-0.091604616,0.127251963
Sample.Topic6.thai,-0.079521236,0.110466412
Sample.Topic6.soup,-0.079216292,0.110042801
Sample.Topic6.service,-0.070667866,0.098167811
Sample.Topic6.rolls,-0.067315988,0.093511571
Sample.Topic7,,
Sample.Topic7.breakfast,0.603968953,1
Sample.Topic7.sushi,-0.352002263,0.582815162
Sample.Topic7.coffee,0.32519975,0.538437859
Sample.Topic7.bar,-0.181866563,0.30111906
Sample.Topic7.chicken,-0.180194618,0.298350796
Sample.Topic7.beer,-0.169406832,0.280489306
Sample.Topic7.eggs,0.163549967,0.27079201
Sample.Topic7.rice,-0.131085601,0.217040297
Sample.Topic7.chinese,-0.129246956,0.213996026
Sample.Topic7.sandwich,0.129164424,0.213859377
Sample.Topic7.happy,-0.113744913,0.188329074
Sample.Topic7.wings,-0.111117175,0.18397829
Sample.Topic7.hour,-0.109299005,0.18096792
Sample.Topic7.rolls,-0.103128962,0.170752092
